step,train/node_label/f1_score,train/loss/total,train/loss/node_label,train/node_label/accuracy,epoch,lr-Adam,val/loss/node_label,val/node_label/f1_score,val/node_label/accuracy,val/loss/total,test/loss/total,test/node_label/accuracy,test/loss/node_label,test/node_label/f1_score
2999,0.7355782985687256,1.2021549940109253,1.2021549940109253,0.19571401178836823,44,,,,,,,,,
3014,,,,,44,,1.6550061702728271,0.5341735482215881,0.12071015685796738,1.6550061702728271,,,,
3015,,,,,,0.001,,,,,,,,
3049,,,,,,0.001,,,,,,,,
3049,0.6813877820968628,1.2364856004714966,1.2364856004714966,0.12114669382572174,45,,,,,,,,,
3081,,,,,45,,1.579035997390747,0.5475700497627258,0.10453087836503983,1.579035997390747,,,,
3082,,,,,,0.001,,,,,,,,
3099,,,,,,0.001,,,,,,,,
3099,0.725761353969574,1.3394182920455933,1.3394182920455933,0.2444109320640564,46,,,,,,,,,
3148,,,,,46,,1.6423214673995972,0.5440762042999268,0.11988481879234314,1.6423214673995972,,,,
3149,,,,,,0.001,,,,,,,,
3149,,,,,,0.001,,,,,,,,
3149,0.6896726489067078,1.2744580507278442,1.2744580507278442,0.11991779506206512,47,,,,,,,,,
3199,,,,,,0.001,,,,,,,,
3199,0.6390791535377502,1.201007604598999,1.201007604598999,0.07875977456569672,47,,,,,,,,,
3215,,,,,47,,1.6334284543991089,0.555612325668335,0.13320127129554749,1.6334284543991089,,,,
3216,,,,,,0.001,,,,,,,,
3249,,,,,,0.001,,,,,,,,
3249,0.6874951720237732,1.2850539684295654,1.2850539684295654,0.13876956701278687,48,,,,,,,,,
3282,,,,,48,,1.6428568363189697,0.5414232015609741,0.12050788104534149,1.6428568363189697,,,,
3283,,,,,,0.001,,,,,,,,
3299,,,,,,0.001,,,,,,,,
3299,0.729874849319458,1.2299036979675293,1.2299036979675293,0.19102713465690613,49,,,,,,,,,
3349,,,,,,0.001,,,,,,,,
3349,0.6736823320388794,1.2996472120285034,1.2996472120285034,0.11556955426931381,49,,,,,,,,,
3349,,,,,49,,1.7167692184448242,0.5018441677093506,0.120489701628685,1.7167692184448242,,,,
3350,,,,,,0.001,,,,,,,,
3399,,,,,,0.001,,,,,,,,
3399,0.7331305742263794,1.2566357851028442,1.2566357851028442,0.21352368593215942,50,,,,,,,,,
3416,,,,,50,,1.6419603824615479,0.5319398045539856,0.1041426733136177,1.6419603824615479,,,,
3417,,,,,,0.001,,,,,,,,
3449,,,,,,0.001,,,,,,,,
3449,0.7507634162902832,1.1965444087982178,1.1965444087982178,0.18834300339221954,51,,,,,,,,,
3483,,,,,51,,1.6978620290756226,0.5132594704627991,0.12331948429346085,1.6978620290756226,,,,
3484,,,,,,0.001,,,,,,,,
3499,,,,,,0.001,,,,,,,,
3499,0.8229972124099731,1.1763653755187988,1.1763653755187988,0.31575632095336914,52,,,,,,,,,
3549,,,,,,0.001,,,,,,,,
3549,0.6728914976119995,1.280195713043213,1.280195713043213,0.1107383519411087,52,,,,,,,,,
3550,,,,,52,,1.6719566583633423,0.524214506149292,0.12236829102039337,1.6719566583633423,,,,
3551,,,,,,0.001,,,,,,,,
3599,,,,,,0.001,,,,,,,,
3599,0.670019268989563,1.3040132522583008,1.3040132522583008,0.11149202287197113,53,,,,,,,,,
3617,,,,,53,,1.5793877840042114,0.5700632929801941,0.11554137617349625,1.5793877840042114,,,,
3618,,,,,,0.001,,,,,,,,
3649,,,,,,0.001,,,,,,,,
3649,0.7280625104904175,1.1940280199050903,1.1940280199050903,0.1396481990814209,54,,,,,,,,,
3684,,,,,54,,1.7007169723510742,0.5136266946792603,0.12896454334259033,1.7007169723510742,,,,
3685,,,,,,0.001,,,,,,,,
3699,,,,,,0.001,,,,,,,,
3699,0.687427818775177,1.3314121961593628,1.3314121961593628,0.19030025601387024,55,,,,,,,,,
3749,,,,,,0.001,,,,,,,,
3749,0.7128543257713318,1.28439199924469,1.28439199924469,0.15975305438041687,55,,,,,,,,,
3751,,,,,55,,1.6901663541793823,0.5257509350776672,0.1306404024362564,1.6901663541793823,,,,
3752,,,,,,0.001,,,,,,,,
3799,,,,,,0.001,,,,,,,,
3799,0.6341952681541443,1.3729209899902344,1.3729209899902344,0.09962837398052216,56,,,,,,,,,
3818,,,,,56,,1.6562825441360474,0.5374153852462769,0.12704215943813324,1.6562825441360474,,,,
